X,Y,Debris Levels,Date
-156.7833,24.25,1,31/07/2011
-165.8103,32.5498,1,02/01/2008
-141.896,34.9327,2,25/09/2009
-155.5469,33.7975,2,08/10/2012
-175.5211,30.3412,2,26/06/2012
-176.3967,34.5387,2,07/12/2009
-157.5833,35.5667,2,08/04/2010
-133.9495,37.1755,2,16/09/2007
-147.7333,34.7167,2,08/08/2010
-153.3167,26.1167,2,29/07/2010
-162.1567,34.23,2,08/04/2010
-152.2349,37.5277,2,08/01/2011
-141.0245,35.3814,2,02/12/2008
-165.914,32.2366,2,28/01/2008
-147.2988,32.5205,2,24/09/2007
-148.2517,39.156,2,13/08/2012
-156.9667,29.8167,2,29/07/2011
-147.6655,35.6912,2,02/09/2008
-157.1167,27.7333,2,08/07/2012
-140.7946,36.083,2,13/02/2008
-142.0833,36.5,2,26/07/2009
-162.7216,33.7558,2,02/03/2008
-163.994,31.3098,2,07/04/2009
-165.2378,32.7388,2,07/05/2009
-156.9333,26.3833,2,27/07/2010
-158.2167,36.1833,2,08/09/2011
-139.2023,35.6865,2,28/09/2009
-174.3002,31.1333,2,27/06/2012
-156.4917,32.5083,2,08/09/2012
-155.5167,27.8833,2,28/07/2010
-138.6878,38.8025,2,31/07/2011
-142.0818,34.6675,2,25/09/2009
-146.3333,36,2,25/07/2009
-157.4333,31.6,2,08/06/2010
-153.25,34.5,2,23/07/2009
-157.3422,26.0945,2,28/07/2011
-136.7717,35.401,2,13/08/2009
-141.7822,35.9064,2,02/11/2008
-142.135,35.6,2,26/08/2012
-157.9833,34.05,2,08/03/2010
-141.4513,35.0049,2,02/11/2008
-143.9167,36.7167,2,08/04/2010
-160.1013,31.151,2,13/09/2009
-146.3667,36.4,2,08/03/2010
-140.3197,36.0405,2,27/09/2009
-174.0432,31.1517,2,27/06/2012
-156.6,30.25,2,08/08/2012
-145.2667,37.2667,2,08/03/2011
-170.0683,32.8404,2,30/01/2008
-158.1222,31.2552,2,21/08/2012
-145.8167,34.4333,2,28/07/2009
-159.229,33.1848,2,19/09/2009
-137.4531,38.1515,2,18/09/2007
-142.2878,34.6502,2,25/09/2009
-152.9033,30.775,2,20/08/2012
-157.35,28.3667,2,20/07/2009
-147.4167,32.5667,2,27/07/2009
-146.3295,41.6703,2,15/08/2012
-155.1667,33.65,2,22/07/2009
-125.3167,39.1,2,08/03/2011
-158.0333,25.6667,2,19/07/2009
-146.0833,37.1667,2,08/08/2010
-161.3617,41.8767,2,08/07/2010
-149.8833,35.4167,2,24/07/2009
-152.6133,31.5611,2,26/09/2007
-143.4833,37.9667,2,30/07/2009
-156.9333,33.4,2,22/07/2009
-139.8972,35.6247,2,08/12/2009
-150.6167,29.7333,2,25/07/2009
-139.4417,35.5483,2,29/08/2009
-157.5991,32.346,2,23/08/2009
-136.1,36,2,08/01/2011
-153.6367,35.7733,2,29/07/2011
-172.2703,31.0304,2,28/06/2012
-148.6533,37.0717,2,27/08/2009
-142.4833,38.2167,2,08/03/2010
-140.8203,35.8409,2,02/12/2008
-155.3343,34.312,2,08/10/2012
-154.235,30.985,2,19/08/2012
-154.5,33.2667,2,08/06/2010
-144.7883,35.225,2,25/08/2012
-141.0217,35.3843,2,26/09/2009
-140.8242,35.841,2,26/09/2009
-159.9608,32.5517,2,18/09/2009
-176.4423,34.4852,2,07/12/2009
-138.7833,35.46,2,27/08/2012
-142.1,37.4833,2,25/07/2009
-146.0215,35.7317,2,08/11/2010
-156.9162,39.1247,2,14/07/2011
-144.3522,34.2913,2,24/09/2009
-162.3583,40.1867,2,08/08/2010
-154.65,32.3833,2,26/07/2011
-159.1667,34.1833,2,08/08/2011
-153.5833,31.5667,2,26/07/2011
-159.55,32.95,2,28/07/2011
-149.3,36.9,2,08/06/2010
-139.385,35.4183,2,27/08/2012
-141.5217,35.4817,3,26/08/2012
-141.434,35.007,3,26/09/2009
-144.9,36.5,3,29/07/2009
-152.4833,30.67,3,20/08/2012
-148.8167,35.9833,3,28/07/2011
-167.5915,33.0283,3,29/01/2008
-173.04,30.3,3,28/06/2012
-171.8237,34.9987,3,07/09/2009
-143.7072,34.37,3,24/09/2009
