X,Y,Name,description,Debris Levels,Wind Speed,Wind Direction,Long,Lat,Debris Categories,Date,Boat,Field_1
-132.966666666556,37.5999999999377,Red Sheilla,,1,15,330,-132.966667,37.6,Occasional Small & Medium Debris,7/12/2012,Red Sheilla,Red Sheilla
-130.033333333166,33.9166666670118,Big Ben,,1,20,330,-130.033333,33.916667,Occasional Small & Medium Debris,7/12/2012,Big Ben,Big Ben
-134.950000000429,34.9333333331569,Ballymack,,1,12,330,-134.95,34.933333,Occasional Small & Medium Debris,7/12/2012,Ballymack,Ballymack
-143.583333333625,31.8666666663858,Big Ben,,1,12,030,-143.583333,31.866667,Occasional Small & Medium Debris,7/18/2012,Big Ben,Big Ben
-146.450000000225,28.5166666668613,Ballymack,,1,10,050,-146.45,28.516667,Occasional Small & Medium Debris,7/18/2012,Ballymack,Ballymack
-156.616666666907,21.050000000247,Red Heather,,0,12,300,-156.616667,21.05,No Debris,7/20/2012,Red Heather,Red Heather
-154.766666666616,22.7166666665787,Bravo Zulu,,0,10,050,-154.766667,22.716667,No Debris,7/20/2012,Bravo Zulu,Bravo Zulu
-152.45,26.4333333336349,Red Sheilla,,0,11,065,-152.45,26.433333,No Debris,7/20/2012,Red Sheilla,Red Sheilla
-153.633333332975,23.4333333332035,Anne Bonny,,0,8,070,-153.633333,23.433333,No Debris,7/20/2012,Anne Bonny,Anne Bonny
-154.31666666623,23.3833333334176,Family Affair,,0,4,100,-154.316667,23.383333,No Debris,7/20/2012,Family Affair,Family Affair
-155.31666666629,22.2833333337444,Turicum,,0,5,155,-155.316667,22.283333,No Debris,7/20/2012,Turicum,Turicum
-156.150000000273,21.8833333329534,Radiance,,0,6,040,-156.15,21.883333,No Debris,7/20/2012,Radiance,Radiance
-147.050000000441,30.0499999996999,Big Ben,,0,12,070,-147.05,30.05,No Debris,7/20/2012,Big Ben,Big Ben
-149.399999999865,25.0999999996926,Ballymack,,0,5,070,-149.4,25.1,No Debris,7/20/2012,Ballymack,Ballymack
-154.133333333005,24.2166666664377,Red Sheilla,,0,13,100,-154.133333,24.216667,No Debris,7/21/2012,Red Sheilla,Red Sheilla
-155.616666666847,21.7833333333867,Anne Bonny,,0,15,080,-155.616667,21.783333,No Debris,7/21/2012,Anne Bonny,Anne Bonny
-156.03333333294,21.6166666664027,Family Affair,,0,12,120,-156.033333,21.616667,No Debris,7/21/2012,Family Affair,Family Affair
-156.933333333713,27.3000000002269,Incantation,,No debris,16,080,-156.933333,27.3,,8/4/2012,Incantation,Incantation
-156.566666666365,21.5499999997918,Kinetic,,No debris,17,075,-156.566667,21.55,,8/4/2012,Kinetic,Kinetic
-156.999999999605,30.0666666667906,Incantation,,No debris,12,130,-157,30.066667,,8/5/2012,Incantation,Incantation
-155.933333333653,24.2999999998814,Kinetic,,No debris,15,102,-155.933333,24.3,,8/5/2012,Kinetic,Kinetic
